)0.10 - baseline
Language               ED    ED (Normalized)    B-Cubed FS
ClassicalNahuatl    4.356              0.559         0.492
JalupaNahuat        5.339              0.742         0.333
MecayapanNahuat     3.569              0.551         0.481
NorthPueblaNahuatl  3.140              0.430         0.589
PajapanNahuat       3.661              0.579         0.520
Pipil               4.052              0.562         0.489
Pochutec            3.841              0.726         0.378
ProtoAztecan        4.508              0.574         0.472
TetelcingoNahuatl   2.552              0.394         0.533
TOTAL               3.891              0.568         0.476
)0.50 - BiNMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    4.269              0.786         0.300
JalupaNahuat        4.125              0.832         0.299
MecayapanNahuat     4.148              0.766         0.302
NorthPueblaNahuatl  4.630              0.745         0.285
PajapanNahuat       3.778              0.769         0.311
Pipil               3.846              0.877         0.256
Pochutec            3.609              0.862         0.266
ProtoAztecan        4.192              0.846         0.273
TetelcingoNahuatl   5.115              0.822         0.269
TOTAL               4.190              0.812         0.285
)0.50 - MNMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    5.115              0.733         0.345
JalupaNahuat        4.750              0.829         0.278
MecayapanNahuat     4.815              0.779         0.274
NorthPueblaNahuatl  4.407              0.716         0.319
PajapanNahuat       4.556              0.790         0.283
Pipil               3.846              0.769         0.299
Pochutec            3.826              0.846         0.268
ProtoAztecan        4.000              0.752         0.343
TetelcingoNahuatl   5.077              0.791         0.253
TOTAL               4.488              0.778         0.296
)0.50 - SMT
Language               ED    ED (Normalized)    B-Cubed FS
------------------  -----  -----------------  ------------
ClassicalNahuatl    3.846              0.705         0.398
JalupaNahuat        2.917              0.660         0.431
MecayapanNahuat     3.074              0.702         0.402
NorthPueblaNahuatl  3.481              0.669         0.346
PajapanNahuat       3.370              0.732         0.356
Pipil               3.000              0.700         0.408
Pochutec            3.652              0.754         0.408
ProtoAztecan        3.115              0.672         0.398
TetelcingoNahuatl   3.654              0.685         0.366
TOTAL               3.346              0.698         0.390
