)0.10 - baseline
Language       ED    ED (Normalized)    B-Cubed FS
Hachijo     3.629              0.797         0.240
Kagoshima   2.900              0.831         0.226
Kochi       3.367              0.799         0.235
Kyoto       3.212              0.791         0.253
Miyako      3.086              0.895         0.280
Oki         3.150              0.786         0.218
Sado        3.218              0.779         0.227
Shuri       3.699              0.820         0.238
Tokyo       3.272              0.783         0.237
TOTAL       3.302              0.797         0.248
)0.50 - MNMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       4.200              0.696         0.288
Hachijo     3.514              0.729         0.263
Kagoshima   3.117              0.767         0.262
Kochi       2.899              0.692         0.277
Kyoto       3.237              0.788         0.258
Miyako      3.259              0.859         0.238
Oki         2.850              0.704         0.268
Sado        3.154              0.706         0.299
Shuri       3.452              0.702         0.289
Tokyo       3.074              0.709         0.275
TOTAL       3.276              0.735         0.272
)0.50 - SMT
Language       ED    ED (Normalized)    B-Cubed FS
----------  -----  -----------------  ------------
Amami       4.143              0.794         0.331
Hachijo     3.457              0.756         0.363
Kagoshima   3.017              0.773         0.333
Kochi       3.063              0.708         0.331
Kyoto       3.125              0.720         0.346
Miyako      2.897              0.795         0.355
Oki         3.025              0.748         0.342
Sado        3.013              0.710         0.366
Shuri       3.712              0.771         0.321
Tokyo       3.235              0.713         0.360
TOTAL       3.269              0.749         0.345
